cluster_label,document_type,count
0,activity,1
1,task,21
1,generic,6
1,activity,1
2,task,2
2,generic,1
3,subactivity,12
4,generic,42
5,generic,11
5,task,11
5,activity,1
6,task,10
6,activity,1
6,generic,1
7,task,19
7,activity,1
7,generic,1
8,task,13
8,activity,4
8,generic,1
9,task,118
9,generic,78
9,activity,37
9,subactivity,3
10,task,4
11,task,6
11,activity,1
12,task,2
12,activity,1
13,generic,19
14,task,24
14,activity,3
15,task,7
15,activity,3
16,task,22
16,activity,4
17,task,61
17,activity,13
17,generic,12
17,subactivity,1
18,task,19
18,activity,5
19,task,1
20,task,6
20,activity,5
21,task,4
22,generic,8
23,task,10
23,generic,6
23,activity,3
24,task,4
25,task,6
26,task,6
26,activity,1
26,generic,1
27,task,14
27,activity,3
27,generic,1
28,generic,7
28,task,1
29,task,4
30,task,16
30,generic,3
30,activity,2
31,task,5
31,activity,1
32,task,2
33,generic,41
33,task,21
33,activity,6
34,task,5
34,generic,4
34,activity,1
35,subactivity,7
36,task,13
37,task,2
38,task,2
38,activity,1
38,generic,1
39,task,3
39,activity,1
40,task,5
41,generic,4
42,task,1
43,task,14
43,activity,1
